"","Project","Text","SDG","Target"
"4452","P088799","comprehensive fiduciary framework planned project comply project development objective mitigate fm risk","No map","No map.NA"
"4453","P088799","agricultural sector","SDG 2","SDG 2.b"
"4454","P088799","assessment mags capacity implement project procurement carried included review organizational structure project implementation procedures capabilities personnel assigned procurement nature procurement carried","SDG 9","SDG 9.5"
"4455","P088799","banco mundial oficina regional para argentina chile paraguay uruguay","No map","No map.NA"
"4456","P088799","component animal health improvement","SDG 5","SDG 5.6"
"4457","P088799","component rural extension adaptive research","SDG 14","SDG 14.a"
"4458","P088799","country management unit argentina chile uruguay paraguay","No map","No map.NA"
"4459","P088799","effort directly differentially target women technical financial assistance","SDG 5","SDG 5.5"
"4460","P088799","finally programs economically sustainable reduce farmers dependence procured inputs","SDG 12","SDG 12.8"
"4461","P088799","provision specialized technical assistance roster private service providers created selecting local consulting firms ngos individuals experience qualifications technical project providing services project beneficiaries","SDG 17","SDG 17.17"
"4462","P088799","consultant services consultants services operating costs training project","No map","No map.NA"
"4463","P088799","recent marked shift cotton soy","No map","No map.NA"
"4464","P088799","recognize geographical landholdings viable population landless","No map","No map.NA"
"4465","P088799","exceedingly difficult smallscale farmers gain access credit","SDG 9","SDG 9.3"
"4466","P088799","xi projects disputed opbpgp","No map","No map.NA"
"4467","P088799","implementation arrangements","No map","No map.NA"
"4468","P088799","improvements natural resource management provide maintenance connectivity landscape","SDG 12","SDG 12.2"
"4469","P088799","addition anthropologist employed project consult indigenous social issues","No map","No map.NA"
"4470","P088799","addition exist critical interdependent issues relating agriculture environmental degradation rural poverty provided","SDG 2","SDG 2.a"
"4471","P088799","addition technical assistance assistance obtaining land titling increase awareness recent law requiring titling landholdings husband wife commonlaw marriages","SDG 14","SDG 14.c"
"4472","P088799","estimated microcatchments project activities overlap complement implementation proposed paraguay biodiversity project project partially blended","SDG 15","SDG 15.9"
"4473","P088799","conformity bank policy gop legislation environmental assessment environmental assessment ea conducted environmental management plan emp prepared","No map","No map.NA"
"4474","P088799","main subcomponents strengthening nodal implementing agency component senacsa strengthening vice ministry animal husbandryvmg","No map","No map.NA"
"4475","P088799","livestock sector","No map","No map.NA"
"4476","P088799","outputs","No map","No map.NA"
"4477","P088799","million total proiect cost","No map","No map.NA"
"4478","P088799","ministerio de hacienda","No map","No map.NA"
"4479","P088799","monitoring evaluation","No map","No map.NA"
"4480","P088799","studies shown women receptive adopting technological innovations positive relationship innovations improvement situation family","SDG 9","SDG 9.5"
"4481","P088799","export fit categories cotton soy bean vegetable oils meat wood significant national industry based processing commodities","SDG 9","SDG 9.b"
"4482","P088799","positive environmental impacts basic objective project","No map","No map.NA"
"4483","P088799","project activities implemented participation communities carried manner respectful cultural characteristics","SDG 11","SDG 11.4"
